AREAACRES,HUC12,NAME,lat,lng,HUC8
15388.63,1.21E+11,Mullens Bayou-<br>&emsp;Copano Bay,28.14463677,-97.231775,Aransas Bay
35871.79,1.21E+11,Upper Copano <br>&emsp;Creek,28.47843189,-97.18217254,Aransas Bay
33044.46,1.21E+11,Salt Lake-<br>&emsp;Copano Bay,27.97846023,-97.14994401,Aransas Bay
8613.02,1.21E+11,Bartell Island-Saint <br>&emsp;Charles Bay,28.19945363,-96.93520646,Aransas Bay
15808.97,1.21E+11,Plumbers Slough-<br>&emsp;Copano Bay,28.1989482,-97.12770635,Aransas Bay
33517.28,1.21E+11,Middle Copano Creek,28.35530274,-97.12543592,Aransas Bay
26879.14,1.21E+11,Burgentine Creek,28.32884326,-96.87199342,Aransas Bay
149590.31,1.21E+11,Aransas Bay,27.99242072,-97.01954438,Aransas Bay
44372.72,1.21E+11,Aransas Pass-<br>Gulf of Mexico,27.93802345,-96.9352582,Aransas Bay
23930.28,1.21E+11,Lower Copano<br>&emsp;Creek,28.21755532,-97.0607062,Aransas Bay
18353.14,1.21E+11,Lower Cavasso<br>&emsp;Creek,28.25139539,-96.99866955,Aransas Bay
28560.86,1.21E+11,Artesian Creek,28.3951794,-96.98267968,Aransas Bay
18599.45,1.21E+11,Upper Cavasso <br>&emsp;Creek,28.30398096,-97.05846543,Aransas Bay
34032.27,1.21E+11,Willow Creek-<br>&emsp;Salt Creek,28.41453604,-97.06109277,Aransas Bay
18304.21,1.21E+11,Twin Creek-<br>&emsp;Willow Creek,28.2996995,-96.93550933,Aransas Bay
26395.27,1.21E+11,&emsp;Fresh Water <br>Lake-Copano Bay,27.99051194,-97.21626648,Aransas Bay
9058.94,1.21E+11,Big Devil Bayou,28.21597152,-96.91456237,Aransas Bay
47384.67,1.21E+11,Swan Lake-<br>&emsp;Copano Bay,28.1036188,-97.11275012,Aransas Bay
