NAME,ADDRESS,CITY,STATE,ZIP,TYPE,STATUS,COUNTY,EVAC_CAP,POST_CAP,SFHA,In_SFHA,lat,lng,Watershed,logo_url
FIRST BAPTIST CHURCH OF BRAZORIA,101 E SAN BERNARD,BRAZORIA,TX,77422,EVAC,OPEN,BRAZORIA,400,280,0,No,29.04960558,-95.56965989,San Bernard,img/shelters.png
BARROW ELEMENTARY SCHOOL,112 GAINES ST,BRAZORIA,TX,77422,EVAC,OPEN,BRAZORIA,400,200,0,No,29.05098854,-95.56852272,San Bernard,img/shelters.png
GUARDIAN ANGEL CATHOLIC CHURCH,5610 DEMEL STREET,WALLIS,TX,77485,BOTH,OPEN,AUSTIN,234,187,0,No,29.62549234,-96.05553421,San Bernard,img/shelters.png
COLUMBIA HIGH SCHOOL,521 SOUTH16TH STREET,WEST COLUMBIA,TX,77486,EVAC,OPEN,BRAZORIA,600,400,0,No,29.13730564,-95.65105512,San Bernard,img/shelters.png
SWEENY JUNIOR HIGH SCHOOL,800 N ELM STREET,SWEENY,TX,77480,EVAC,OPEN,BRAZORIA,400,200,0,No,29.04537623,-95.70180628,San Bernard,img/shelters.png
BRAZORIA FIRST ASSEMBLY OF GOD - BLDG 1,601 S MARKET ST (HWY 36),BRAZORIA,TX,77422,BOTH,OPEN,BRAZORIA,400,200,0,No,29.04097965,-95.56817214,San Bernard,img/shelters.png
WILD PEACH ELEMENTARY SCHOOL,3311 COUNTY ROAD 353,BRAZORIA,TX,77422,EVAC,OPEN,BRAZORIA,200,120,0,No,29.076064,-95.61668,San Bernard,img/shelters.png
FIRST UNITED METHODIST CHURCH OF EAST BERNARD,421 PIETZSCH STREET,EAST BERNARD,TX,77435,EVAC,OPEN,WHARTON,1,50,0,No,29.5285015,-96.06338573,San Bernard,img/shelters.png
BRAZORIA FIRST ASSEMBLY OF GOD - BLDG 2,601 S MARKET ST (HWY 36),BRAZORIA,TX,77422,EVAC,OPEN,BRAZORIA,100,57,0,No,29.04088832,-95.56905201,San Bernard,img/shelters.png
ST. ROCH'S CATHOLIC CHURCH,1600 FRELSBURG,ALLEYTON,TX,78935,BOTH,OPEN,COLORADO,50,100,0,No,29.75078148,-96.43893358,San Bernard,img/shelters.png
SF. AUSTIN ELEMENTARY,7551 SF AUSTIN ROAD,JONES CREEK,TX,77541,POST,OPEN,BRAZORIA,0,76,1,Yes,28.96608006,-95.46444148,San Bernard,img/shelters.png
WEST BRAZORIA JR HIGH SCHOOL,111 ROUSTABOUT DR,BRAZORIA,TX,77422,POST,OPEN,BRAZORIA,0,210,0,No,29.07154,-95.58889,San Bernard,img/shelters.png
"KNIGHTS OF COLUMBUS HALL, COUNCIL 7067",13631 HIGHWAY 26,NEEDVILLE,TX,77461,BOTH,OPEN,FORT BEND,45,22,0,No,29.39534477,-95.83164305,San Bernard,img/shelters.png
KNIGHTS OF COLUMBUS HALL,703 COLUMBUS RD,WALLIS,TX,77485,EVAC,OPEN,AUSTIN,440,190,0,No,29.63758527,-96.06063903,San Bernard,img/shelters.png
ST. JOHN LUTHERAN CHURCH,480 ROSS ST,CAT SPRING,TX,78933,BOTH,OPEN,AUSTIN,100,50,0,No,29.84338354,-96.32514216,San Bernard,img/shelters.png
WHARTON HIGH SCHOOL,1 TIGER AVENUE,WHARTON,TX,77488,POST,OPEN,WHARTON,885,442,0,No,29.32814171,-96.09192185,San Bernard,img/shelters.png
